2.329126145697699712e-01 1.665822893795779430e-04
2.344680270133281397e-01 1.465775928245115645e-03
2.384583747358064443e-01 3.706735422558218081e-03
2.458553586468141816e-01 4.909302920296747599e-03
2.413904662394941170e-01 5.439146775794500427e-03
2.489023259009428557e-01 8.341568871592666690e-03
2.489081094768970104e-01 8.595062118474959545e-03
2.490110438205554999e-01 8.001544484243568178e-03
2.492922524934542139e-01 8.032542897847728611e-03
2.488337292943789691e-01 8.469555808103974501e-03
2.447299576309127644e-01 1.364094929194907026e-02
1.850793344502719151e-01 2.149482827449539918e-02
1.857427495571997156e-01 1.476285280915868789e-02
1.854159789394387303e-01 1.287504017073010272e-02
1.842530765657777181e-01 1.365631544349065786e-02
1.835019968974762605e-01 1.598774960015179533e-02
7.405956001730018556e-02 1.284179587059189505e-02
6.946975821500345205e-02 1.122121504579087249e-02
6.893202619473726145e-02 1.161727033788489613e-02
6.773815537714966695e-02 1.235083347734823589e-02
6.751023271944234239e-02 1.276754866540729186e-02
6.749576442451754588e-02 1.255958963438153289e-02
6.867277839707242038e-02 1.275311656757802635e-02
6.856442928697603634e-02 1.205481560826954755e-02
6.851681880182525219e-02 1.296072441392233203e-02
6.846059467705956081e-02 1.369949113596693330e-02
6.848054619804599952e-02 1.542142836439467680e-02
6.898874498428853030e-02 1.479438953058703245e-02
6.907101259567127727e-02 1.892155272908647642e-02
6.956384648573177287e-02 1.960534217728639519e-02
6.994231020988905811e-02 1.795278385926823705e-01
7.390937300931810228e-02 1.498863087447447784e+00
7.660788475147128906e-02 2.460923393715382712e+00
1.106500852585980965e-01 3.438052958068288145e+00
1.091662940785766978e-01 5.406046082366789740e+00
